"Respondent ID","Survey Year","age","Gender","Race / ethnicity","education","Marital Status","region","employment status","hours_worked","Household Income","Self Rated Health","smoking_status","Physical Activity Days","survey weight","Interview Mode"
20001,2025,40,"Male","Latina/o/x","BA","married","Mountain West","Employed full time","24","83000","Excellent","Never","6","2.17","-8"
20002,2025,89,"Male","Latina/o/x","99","Never married","South","Student","24","19000","Very good","Never","4","1,25","Web"
20003,2025,22,"Female","Latina/o/x","High school","Widowed","South","Student","25","112000","Very good","Former","6","1.51","Mail"
20004,2025,83,"male","Black","High school","Living with partner","Northeast","Employed full time","37","-8","Very good","Never","1","2.02","In person"
20005,2025,83,"Nonbinary","white","ba","Married","South","Employed full time","6","21000","Very good","Occasional","Not asked","0.66","In person"
20006,2025,36,"Female","BLACK","BA","Divorced","Northeast","Student","8","139000","Very good","Former","4","1.74","Phone"
20007,2025,82,"Female","Multiracial","Graduate","married","Northeast","Student","43","-8","Fair","Never","Not asked","0.93","PHONE"
20008,2025,38,"female","white","Graduate","Never married","South","Employed full time","15","$ 98,000","Fair","Never","4","2.11","Web"
20009,2025,64,"Male","Asian","Less than HS","Never married"," SOUTH ","Employed full time","32","$ 93,000","Excellent","Current","-9","0.63","Web"
20010,2025,62,"Prefer not to answer","Multiracial","Some college","Married","South","Student","57","181000","Good","Former","4","1.30","Web"
20011,2025,47,"female","White","BA","married","Midwest","Employed part time","15","105000","Good","Former","4","2.50","Mail"
20012,2025,57,"Male","Latina/o/x","High school","-9","South","Unemployed","28","151000","DK","Never","1","2.17","Web"
20013,2025,64,"Nonbinary","","BA","Divorced","South","Employed full time","44","$ 27,000","Good","Never","-9","1.27","Web"
20014,2025,82,"Female","white","Graduate","Living with partner","Mountain West","Retired","55","119000","Very good","Former","4","2.49","In person"
20015,2025,31,"female","Black","ba","Married","South","Employed full time","38","66000","excellent","Current","4","2.71","Phone"
20016,2025,43,"Male","Latina/o/x","ba","Living with partner","West","Retired","34","180000","Very good","Current","-9","2.29","Phone"
20017,2025,76,"Female","Asian","-8","Married","Midwest","Employed part time","7","110000","Excellent","Never","2","0.53","Phone"
20018,2025,23,"Male","White","BA","Widowed"," SOUTH ","Employed full time","19","59000","Very good","Current","2","1.87","Phone"
20019,2025,26,"Nonbinary","Latina/o/x","Some college","Widowed","South","Employed part time","27","34000","Fair","Former","eight","0.84","Phone"
20020,2025,67,"male","White","Some college","Married","South","Student","1","59000","Very good","Former","7","2.27","In person"
20021,2025,75,"Male","White","High school","Never married","Midwest","Retired","35","149000","Very good","Never","3","2.58","In person"
20022,2025,61,"male","white","Less than HS","Divorced","West","Student","54","138000","Fair","Former","6","0.67","Web"
20023,2025,48,"Female","-8","BA","Divorced","South","Employed full time","53","129000","Good","Never","1","2.67","Web"
20024,2025,72,"Female","White","ba","Married","South","-8","17","147000","Excellent","Former","5","2.39","web"
20025,2025,51,"female","White","BA","Divorced","Midwest","Employed full time","37","24000","Good","Never","2","","Mail"
20026,2025,71,"Female","Latina/o/x","Graduate","Living with partner","Midwest","Employed full time","8","$ 67,000","Good","Never","7","2.07","In person"
20027,2025,999,"Female","-9","High school","-9","Midwest","Not in labor force","22","143000","Excellent","Never","eight","1,25","Web"
20028,2025,54,"female","White","Some college","Married","Midwest","Employed full time","24","$ 92,000","Very good","Never","-9","1.26","In person"
20029,2025,39,"Female","Black","Graduate","Married","South","Employed full time","22","41000","Good","Never","4","2.73","In person"
20030,2025,71,"FEMALE","White","99","Married","west","Employed full time","55","$ 51,000","Very good","Never","2","1.96","In person"
20031,2025,80,"Male","Other","Less than HS","Never married","South","employed full time","14","111000","Very good","Never","eight","2.22","Web"
20032,2025,38,"Female","White","BA","Married","South","Employed full time","4","85000","Very good","Never","5","0.92","In person"
20033,2025,18,"Male","Latina/o/x","High school","Married","Midwest","Employed full time","12","64000","Very good","Former","2","2.61","Mail"
20034,2025,76,"Male","Latina/o/x","Graduate","Never married"," SOUTH ","Employed full time","42","97000","Very good","Current","2","1.69","In person"
20035,2025,87,"Male","White","High school","Never married","South","Employed full time","53","27000","Very good","Never","5","-9","Web"
20036,2025,82,"female","White","BA","Married","Midwest","Employed part time","44","38000","Very good","Former","3","2.53","Mail"
20037,2025,39,"Male","Asian","Graduate","Married","West","Retired","59","152000","Good","Never","4","0.94","In person"
20038,2025,64,"Female","Other","High school","Living with partner","Mountain West","Retired","44","79000","Excellent","Never","5","1.78","In person"
20039,2025,26,"male","White","Graduate","Never married","Mountain West","Employed full time","36","95000","Very good","Never","2","0.39","Web"
20040,2025,86,"Male","Multiracial","Some college","Never married","Midwest","-9","6","174000","Very good","Occasional","2","1.11","Web"
20041,2025,87,"Nonbinary","White","Graduate","Married","Mountain West","Not in labor force","21","122000","Excellent","Never","5","1.88","Web"
20042,2025,45,"Female","-9","Some college","Never married","Northeast","Employed full time","17","$ 95,000","Very good","Never","4","1.93","Mail"
20043,2025,83,"Female","White","Some college","Married","South","employed full time","31","$ 78,000","Fair","Never","-9","1.06","In person"
20044,2025,64,"Nonbinary","White","-8","Married","West","Employed full time","39","$ 60,000","Very good","Former","2","2.39","Web"
20045,2025,39,"MALE","White","Some college","Living with partner","West","-8","33","48000","Good","Never","eight","1.04","In person"
20046,2025,76,"Female","Black","Some college","Married","South","Retired","60","34000","Very good","Never","7","1.13","Phone"
20047,2025,77,"FEMALE","White","Graduate","Never married","Midwest","Retired","22","71000","Good","Former","1","1.73","Web"
20048,2025,83,"male","White","High school","Widowed","Northeast","Employed full time","26","56000","Fair","Current","0","0.79","Web"
20049,2025,999,"Female","Multiracial","High school","Married","South","Employed full time","12","146000","Good","Never","5","1.16","PHONE"
20050,2025,70,"Nonbinary","White","Some college","Married","west","Employed full time","23","43000","-9","-9","eight","1.26","Web"
20051,2025,34,"Male","Black","99","Married","Mountain West","Retired","59","70000","Good","Never","eight","1.57","Mail"
20052,2025,86,"Male","Asian","Graduate","Never married","West","Not in labor force","16","$ 22,000","Good","Former","-9","2.61","Web"
20053,2025,89,"Female","White","High school","Married","west","Employed full time","1","$168,000","Very good","Former","-9","0.64","Mail"
20054,2025,20,"Nonbinary","Multiracial","BA","Married","West","Employed full time","48","90000","Good","Former","eight","2.31","Web"
20055,2025,21,"Female","Native American","BA","Married","Mountain West","Employed full time","42","$ 41,000","Good","Never","1","2.55","In person"
20056,2025,81,"Male","White","BA","Never married","Northeast","-8","5","85000","Excellent","Never","5","2.09","In person"
20057,2025,34,"Female","Black","Some college","Never married","West","Student","-9","34000","Good","Current","6","1,25","In person"
20058,2025,73,"male","Multiracial","BA","Separated","west","Employed full time","13","53000","Fair","Never","1","2.02","Mail"
20059,2025,64,"-9","White","High school","Divorced","Northeast","Employed part time","19","105000","Poor","Occasional","2","1.99","Phone"
20060,2025,24,"Prefer not to answer","White","BA","Married","Midwest","Employed full time","56","153000","Good","Never","-9","2.06","Web"
20061,2025,63,"Female","Multiracial","High school","Never married","Midwest","Employed full time","42","Not asked","Very good","Former","7","0.59","Web"
20062,2025,46,"male","Latina/o/x","High school","Never married","Midwest","Unemployed","18","$ 49,000","Very good","Never","eight","2.66","Mail"
