"respondent_id","gender","region","health_2022","health_2023","health_2024","activity_days_2022","activity_days_2023","activity_days_2024","hours_worked_2022","hours_worked_2023","hours_worked_2024"
10001,"Male","Midwest",4,3,5,6,6,7,24,53,20
10002,"MALE","Northeast",2,2,3,5,-9,0,23,47,21
10003,"Female","Northeast",4,1,3,0,6,0,29,60,59
10004,"female","-9",4,4,2,3,5,7,52,4,2
10005,"Male","Mountain West",3,2,2,0,4,7,41,-8,20
10006,"Male","Northeast",4,1,4,5,4,3,44,44,58
10007,"Female","West",3,4,4,1,7,7,6,44,6
10008,"female","Midwest",3,-9,2,-9,4,0,53,23,10
10009,"FEMALE","South",4,5,5,3,0,2,23,1,57
10010,"Male","South",4,5,1,-9,7,3,32,6,59
10011,"female","West",4,-9,5,4,2,0,33,16,20
10012,"-9","West",2,1,1,1,3,-9,39,4,58
10013,"MALE","Northeast",4,-9,3,3,1,1,28,60,23
10014,"female","west",2,2,-9,0,1,5,15,36,26
10015,"male","West",5,2,5,2,1,0,15,44,33
10016,"Female","West",3,4,2,-9,-9,5,57,13,28
10017,"male","Midwest",3,3,1,2,0,2,3,13,37
10018,"Male","South",1,3,4,1,2,3,44,4,22
10019,"Male","West",3,3,3,2,4,7,18,12,58
10020,"Nonbinary","South",3,2,3,2,6,7,11,34,60
10021,"Female","South",-9,5,5,1,4,0,56,2,45
10022,"Female","West",5,-9,4,2,5,0,55,31,55
10023,"FEMALE","Midwest",4,2,1,0,0,1,3,20,57
10025,"","Midwest",-9,5,5,1,0,4,33,55,16
10026,"Male","Midwest",-9,1,1,7,-9,3,8,13,34
10027,"Male","South",4,3,1,4,5,4,4,33,49
10028,"male","South",3,1,4,4,6,7,50,50,43
10029,"Nonbinary","West",3,3,4,6,0,3,1,51,15
10030,"Nonbinary","Northeast",5,2,1,6,3,7,38,14,-9
10031,"male","Midwest",1,5,2,1,0,1,39,36,52
10032,"Female","South",3,4,1,2,5,6,15,24,19
10033,"Female","South",1,5,1,3,7,-9,3,57,35
10034,"male","Northeast",5,2,1,2,2,3,34,29,14
10035,"FEMALE","Midwest",4,5,5,3,6,-9,50,9,36
10036,"Male","West",5,-9,1,7,2,5,51,53,-9
10037,"Male","West",-9,2,4,4,5,2,28,18,34
10038,"Male","Midwest",1,1,-9,1,2,3,22,21,20
10039,"Female","South",2,5,4,4,3,6,53,7,57
10040,"","Midwest",5,1,-9,5,7,4,41,-9,12
10041,"Female","west",4,1,3,-9,4,-9,27,14,46
10042,"Female","West",1,1,1,4,7,3,7,25,4
10043,"-9","West",3,3,4,2,6,1,30,3,54
10044,"Male","West",3,5,-9,0,1,-9,8,8,8
10045,"Male","West",5,3,2,6,-9,1,53,57,48
10046,"Female","Mountain West",1,4,3,2,5,1,10,16,12
10047,"Male","Midwest",-9,4,1,7,-9,3,54,40,57
10048,"Male","Mountain West",3,2,5,6,0,-9,9,11,10
10049,"Male","Midwest",3,5,4,3,2,3,2,36,47
10050,"Female","South",3,-9,5,4,1,5,52,16,58
10051,"Male","South",4,-9,5,-9,0,7,13,55,45
10052,"Female","Northeast",4,1,2,2,0,3,29,43,25
10053,"Female","South",4,2,1,-9,6,2,34,31,48
10054,"Female","West",5,2,2,6,1,2,41,28,54
10055,"male","South",3,5,5,-9,7,2,2,5,33
10056,"male","Northeast",4,2,1,0,4,1,18,52,28
10057,"male","Midwest",5,1,5,3,3,2,6,21,-8
10058,"Female","South",5,2,2,6,-9,3,35,12,22
10059,"-9","Mountain West",3,5,4,6,4,7,53,11,60
10060,"female","South",3,-9,4,7,4,7,23,60,51
10061,"Female","West",3,2,3,3,5,4,50,0,29
10062,"Nonbinary","-9",2,5,1,6,-9,6,30,49,21
10063,"Female","-9",-9,3,4,6,3,7,7,7,53
10064,"Prefer not to answer","Northeast",1,2,3,-9,3,4,55,-8,37
10065,"Female","Midwest",1,2,4,5,1,1,37,22,49
10066,"Male","South",3,1,4,1,4,2,56,56,29
10067,"Female","South",1,2,5,3,6,5,41,58,7
10068,"FEMALE","Mountain West",1,2,1,6,7,5,3,11,58
10069,"Male","South",4,4,1,7,5,0,17,11,55
